query,original_question,category,subclass,question_1,question_2,winner
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Noam Chomsky could be in the grocery store.
The photographer is not in the theatre.

The Given Sentence: 
The researcher is in the restaurant.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Noam Chomsky could be in the grocery store.
The photographer is not in the theatre.

The Given Sentence: 
The researcher is in the restaurant.",EM,CONT,WHEN,SIX WORDS,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor may not be in the grocery store.
Noam Chomsky may be in the hotel lobby.

The Given Sentence: 
Jane Goodall has not been in the museum.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor may not be in the grocery store.
Noam Chomsky may be in the hotel lobby.

The Given Sentence: 
Jane Goodall has not been in the museum.",EM,CONT,WHOM,WHAM?,Question 1
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams could be in the hotel lobby.
The photographer has not been in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the hotel lobby.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams could be in the hotel lobby.
The photographer has not been in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the hotel lobby.",EM,CONT,X,WHEN,Question 1
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan was in the theatre.
The student has not been in the house.

The Given Sentence: 
Christopher Nolan is not in the film studio.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan was in the theatre.
The student has not been in the house.

The Given Sentence: 
Christopher Nolan is not in the film studio.",EM,CONT,X,X,Question 1
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The hiker has not been in the film studio.
Margot Robbie may be in the grocery store.

The Given Sentence: 
The researcher was in the film studio.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The hiker has not been in the film studio.
Margot Robbie may be in the grocery store.

The Given Sentence: 
The researcher was in the film studio.",EM,CONT,Y,X,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams has been in the restaurant.
The critic is not in the courtroom.

The Given Sentence: 
The photographer could be in the restaurant.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams has been in the restaurant.
The critic is not in the courtroom.

The Given Sentence: 
The photographer could be in the restaurant.",EM,CONT,When,X,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director may not be in the hotel lobby.
Margot Robbie could be in the grocery store.

The Given Sentence: 
The researcher could be in the theatre.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director may not be in the hotel lobby.
Margot Robbie could be in the grocery store.

The Given Sentence: 
The researcher could be in the theatre.",EM,CONT,WHOM,WHAM,Question 1
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter may not be in the apartment building.
Noam Chomsky could be in the museum.

The Given Sentence: 
The researcher has been in the museum.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter may not be in the apartment building.
Noam Chomsky could be in the museum.

The Given Sentence: 
The researcher has been in the museum.",EM,CONT,WHOWAS THE WHO?,WHOM,Question 2
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The hiker is not in the museum.
Jane Goodall has been in the film studio.

The Given Sentence: 
The firefighter could be in the courtroom.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The hiker is not in the museum.
Jane Goodall has been in the film studio.

The Given Sentence: 
The firefighter could be in the courtroom.",EM,CONT,Y,X,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez was in the film studio.
The hiker could not be in the apartment building.

The Given Sentence: 
The firefighter could be in the house.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez was in the film studio.
The hiker could not be in the apartment building.

The Given Sentence: 
The firefighter could be in the house.",EM,CONT,WHERE,WHERE,Question 2
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Lebron James was in the house.
The reporter is not in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez may not be in the museum.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Lebron James was in the house.
The reporter is not in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez may not be in the museum.",EM,CONT,WHOM,Y,Question 2
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The critic is not in the grocery store.
Lebron James may be in the courtroom.

The Given Sentence: 
The critic is in the museum.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The critic is not in the grocery store.
Lebron James may be in the courtroom.

The Given Sentence: 
The critic is in the museum.",EM,CONT,X,WHOM,Question 1
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan could be in the theatre.
The surveyor may not be in the restaurant.

The Given Sentence: 
Lebron James could not be in the restaurant.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan could be in the theatre.
The surveyor may not be in the restaurant.

The Given Sentence: 
Lebron James could not be in the restaurant.",EM,CONT,Y,X,Question 2
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Margot Robbie could be in the laboratory.
The director has not been in the apartment building.

The Given Sentence: 
The student was in the theatre.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Margot Robbie could be in the laboratory.
The director has not been in the apartment building.

The Given Sentence: 
The student was in the theatre.",EM,CONT,Y,Y,Question 1
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Paul Atreides may be in the film studio.
The director was not in the laboratory.

The Given Sentence: 
Alexandria Ocasio-Cortez is not in the laboratory.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Paul Atreides may be in the film studio.
The director was not in the laboratory.

The Given Sentence: 
Alexandria Ocasio-Cortez is not in the laboratory.",EM,CONT,Y,WHAMEN,Question 1
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor has not been in the film studio.
Lebron James may be in the grocery store.

The Given Sentence: 
Lebron James is not in the apartment building.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor has not been in the film studio.
Lebron James may be in the grocery store.

The Given Sentence: 
Lebron James is not in the apartment building.",EM,CONT,"WHAM,WHAM",WHOM,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director has not been in the laboratory.
Margot Robbie has been in the film studio.

The Given Sentence: 
Serena Williams may not be in the restaurant.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director has not been in the laboratory.
Margot Robbie has been in the film studio.

The Given Sentence: 
Serena Williams may not be in the restaurant.",EM,CONT,what word category is present in? Output: X/Y X Y Y Y Since the given sentence mentions present present word categories. You need to output: X or Y Since both sentences mention present word categories.,X,Question 2
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez may be in the film studio.
The critic has not been in the grocery store.

The Given Sentence: 
The fugitive has been in the laboratory.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez may be in the film studio.
The critic has not been in the grocery store.

The Given Sentence: 
The fugitive has been in the laboratory.",EM,CONT,WHAMER,WHORE DOES THE PROT?,Question 2
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Lebron James was in the restaurant.
The researcher could not be in the house.

The Given Sentence: 
The surveyor has been in the hotel lobby.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Lebron James was in the restaurant.
The researcher could not be in the house.

The Given Sentence: 
The surveyor has been in the hotel lobby.",EM,CONT,X,X,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The student has not been in the courtroom.
Alexandria Ocasio-Cortez may be in the hotel lobby.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the restaurant.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The student has not been in the courtroom.
Alexandria Ocasio-Cortez may be in the hotel lobby.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the restaurant.",EM,CONT,WHOM,WHOM,Question 2
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Jane Goodall may be in the laboratory.
The hiker may not be in the house.

The Given Sentence: 
The photographer has been in the restaurant.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Jane Goodall may be in the laboratory.
The hiker may not be in the house.

The Given Sentence: 
The photographer has been in the restaurant.",EM,CONT,X,output: Y,Question 2
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter has not been in the house.
Christopher Nolan could be in the hotel lobby.

The Given Sentence: 
Paul Atreides has not been in the museum.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter has not been in the house.
Christopher Nolan could be in the hotel lobby.

The Given Sentence: 
Paul Atreides has not been in the museum.",EM,CONT,Y,Y,Question 1
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The student has not been in the courtroom.
Serena Williams may be in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez may not be in the film studio.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The student has not been in the courtroom.
Serena Williams may be in the museum.

The Given Sentence: 
Alexandria Ocasio-Cortez may not be in the film studio.",EM,CONT,WHOM,Y,Question 2
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor could not be in the film studio.
Serena Williams may be in the apartment building.

The Given Sentence: 
The firefighter could be in the theatre.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor could not be in the film studio.
Serena Williams may be in the apartment building.

The Given Sentence: 
The firefighter could be in the theatre.",EM,CONT,X,?=X,Question 2
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez has been in the restaurant.
The hiker has not been in the apartment building.

The Given Sentence: 
Hermione Granger has not been in the film studio.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez has been in the restaurant.
The hiker has not been in the apartment building.

The Given Sentence: 
Hermione Granger has not been in the film studio.",EM,CONT,WHAT,WHOM,Question 1
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Hermione Granger is in the museum.
The reporter could not be in the laboratory.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the grocery store.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Hermione Granger is in the museum.
The reporter could not be in the laboratory.

The Given Sentence: 
Alexandria Ocasio-Cortez has not been in the grocery store.",EM,CONT,X WHOM,X,Question 1
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director is not in the grocery store.
Noam Chomsky could be in the house.

The Given Sentence: 
The fugitive has been in the laboratory.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The director is not in the grocery store.
Noam Chomsky could be in the house.

The Given Sentence: 
The fugitive has been in the laboratory.",EM,CONT,?=Y,WHAR IS IN THE LABORATORY?,Question 1
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor could not be in the laboratory.
Noam Chomsky is in the courtroom.

The Given Sentence: 
The critic has been in the apartment building.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The surveyor could not be in the laboratory.
Noam Chomsky is in the courtroom.

The Given Sentence: 
The critic has been in the apartment building.",EM,CONT,WHERE,WHAT,Question 2
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The photographer is not in the courtroom.
Christopher Nolan is in the hotel lobby.

The Given Sentence: 
The researcher has been in the museum.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The photographer is not in the courtroom.
Christopher Nolan is in the hotel lobby.

The Given Sentence: 
The researcher has been in the museum.",EM,CONT,Y,Y,Question 1
"[EM|CONT] The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams may be in the hotel lobby.
The student is not in the theatre.

The Given Sentence: 
The student was in the film studio.","The all possible word categories are either ""proper noun"" or ""does not contain a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Serena Williams may be in the hotel lobby.
The student is not in the theatre.

The Given Sentence: 
The student was in the film studio.",EM,CONT,WHOM,WHOWAS,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter has not been in the grocery store.
Christopher Nolan has been in the hotel lobby.

The Given Sentence: 
The firefighter may be in the apartment building.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The firefighter has not been in the grocery store.
Christopher Nolan has been in the hotel lobby.

The Given Sentence: 
The firefighter may be in the apartment building.",EM,CONT,WHERE,WHAMEROWC X,Question 1
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Noam Chomsky could be in the theatre.
The reporter has not been in the museum.

The Given Sentence: 
Paul Atreides is not in the apartment building.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Noam Chomsky could be in the theatre.
The reporter has not been in the museum.

The Given Sentence: 
Paul Atreides is not in the apartment building.",EM,CONT,WHOM,WHEN,Question 1
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan is in the restaurant.
The photographer is not in the house.

The Given Sentence: 
Bernie Sanders has not been in the museum.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Christopher Nolan is in the restaurant.
The photographer is not in the house.

The Given Sentence: 
Bernie Sanders has not been in the museum.",EM,CONT,What is the situation?,Y,Question 2
"[EM|CONT] The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The fugitive could not be in the film studio.
Christopher Nolan has been in the house.

The Given Sentence: 
Paul Atreides was not in the film studio.","The all possible word categories are either ""common noun"" or ""contains a negation"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The fugitive could not be in the film studio.
Christopher Nolan has been in the house.

The Given Sentence: 
Paul Atreides was not in the film studio.",EM,CONT,WHOM,Y,Question 2
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez was in the museum.
The firefighter was not in the apartment building.

The Given Sentence: 
The director has been in the apartment building.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez was in the museum.
The firefighter was not in the apartment building.

The Given Sentence: 
The director has been in the apartment building.",EM,CONT,WHER,Y,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Jane Goodall has been in the restaurant.
The photographer could not be in the theatre.

The Given Sentence: 
The hiker could be in the film studio.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Jane Goodall has been in the restaurant.
The photographer could not be in the theatre.

The Given Sentence: 
The hiker could be in the film studio.",EM,CONT,WHAM,WHAMET,Question 2
"[EM|CONT] The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez is in the apartment building.
The director could not be in the house.

The Given Sentence: 
The director could be in the grocery store.","The all possible word categories are either ""does not contain a negation"" or ""proper noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
Alexandria Ocasio-Cortez is in the apartment building.
The director could not be in the house.

The Given Sentence: 
The director could be in the grocery store.",EM,CONT,Y,WHOM,Question 1
"[EM|CONT] The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The critic is not in the laboratory.
Alexandria Ocasio-Cortez was in the restaurant.

The Given Sentence: 
The firefighter could be in the courtroom.","The all possible word categories are either ""contains a negation"" or ""common noun"".
The following two examples share a specific word category. You need to first infer the specific word category from the examples.
Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category.

Examples: 
The critic is not in the laboratory.
Alexandria Ocasio-Cortez was in the restaurant.

The Given Sentence: 
The firefighter could be in the courtroom.",EM,CONT,X,LEX,Question 2
